,fitting_params,freq_range,Subject,run,label,offset,log_knee,exponent,r_squared,error
530,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1023,run-01,RPI7,-10.404594614871195,1.0203018346294752,3.133485711083687,0.9963012813317732,0.04116928615472544
531,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1023,run-01,RPI8,-10.276836273524395,1.1270686040466789,3.537641695603913,0.9981163725165204,0.031573384898725944
532,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1023,run-01,RPI9,-10.475983701633258,1.070612448407324,3.6269651918304153,0.9968839539392584,0.05515765504405576
533,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1023,run-01,RPI10,-10.638144506669777,1.0660322946326675,3.684630114949651,0.9977446820442493,0.042704989653254255
534,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1023,run-01,RPI11,-10.408183400316135,0.9691568727434668,3.4751645600678276,0.9951382344460924,0.07013086527824436
535,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1023,run-01,RPI12,-10.159897087624682,0.9976327618941432,3.6538430560078563,0.9971380151252409,0.054382372019344816
536,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1023,run-01,RPI13,-10.05492984345362,1.0394583795728347,3.7450062026707394,0.997593658667361,0.05110694852618673
537,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1023,run-01,RPI14,-9.95918390897988,1.0559578908622862,3.822813494025938,0.9983197671294612,0.03478053185428903
538,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1023,run-01,RPI15,-9.752671125695189,0.9873294115088481,3.626496961024786,0.9978768117622278,0.036529332424850056
539,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1023,run-01,RPI16,-10.09189705940053,0.9894675814642883,3.3839223649995285,0.9959220348737559,0.040429237228059876
540,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,LCM1,-10.5920997528022,-0.13519581942472986,1.7573724058708722,0.9881245221013142,0.05908579398998185
541,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,LCM2,-10.825602403959305,-1.0,1.5516377192081143,0.9875622148467418,0.05933327601650177
542,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,LCM3,-11.284703368262154,-1.0,1.2966798461166844,0.9415566034344155,0.0794187535055484
543,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,LCM4,-11.92150318988452,-1.0,1.0832812335420758,0.962930721512834,0.06827160765673662
544,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,LCM5,-11.869056586976939,-1.0,1.1742023659650582,0.9180289050867303,0.09316309150046717
545,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,LCM6,-11.49800750197145,-1.0,1.3472266863521993,0.9628556485756352,0.08441206642370805
546,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,LCM7,-10.901062619788906,-0.5832667095699466,1.6677371840665323,0.996251068899374,0.0346895345491353
547,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,LCM8,-10.98754983290376,0.3592562260679063,1.9991415044257084,0.9960974659114064,0.039692372032515424
548,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,LP1,-10.43182374188765,0.8402013074564211,2.892142653817984,0.9980469795171488,0.039127641902784636
549,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,LP2,-10.370816564916858,0.7597645196599585,2.7714235979399118,0.9985215589455129,0.03405223400440277
550,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,LP3,-10.866094507761833,1.0094631083331151,3.0446244433369576,0.9939991178085482,0.059298528387834
551,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,LP4,-10.550030343115917,0.8994147231364832,3.1018683607666917,0.9934774298338311,0.07664061625325068
552,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,LP5,-10.280030823642104,0.7839881435134434,2.9031926918314035,0.9981638893852361,0.039037452707721146
553,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,LP6,-10.0232620420639,0.6977596300971399,2.8168160659972985,0.9982376304309195,0.031775573614751466
554,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,LP7,-10.95362673147052,1.0633398464243573,3.09611983937933,0.9962073567302926,0.053203162670552084
555,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,LP8,-10.77915233700181,1.0518839224601615,3.2063600165281865,0.9989614538952029,0.029440591081371467
556,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,LP9,-10.920374234291387,1.1332425353611473,3.0985949514893556,0.9990393667079234,0.017011862103512448
557,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,LP10,-11.020671476133261,1.1344997078657149,3.139875503915861,0.9975907007265834,0.03445552218111179
558,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,LP11,-10.985980922949512,1.2619199108702108,3.4137096597497085,0.9973630178279512,0.03256636767237833
559,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,LP12,-11.173540688250881,1.2641781377533965,3.161075285806955,0.9926050161265434,0.04534164093519453
560,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,LP13,-10.838281159162296,1.4080591047093156,4.072871499360092,0.9956556236395476,0.048152156112841855
561,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,LP14,-11.282238667099222,1.3285614252597135,3.2630161170054657,0.9954044275999145,0.03595385107542793
562,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,LP15,-11.338752226392216,1.2599815451577105,3.1013591128908846,0.9914456026689602,0.048947362092145015
563,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,LP16,-10.768789504630252,0.6600230905375631,2.0365385650881636,0.9953445076952503,0.04041076285937715
564,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,RCM1,-10.264238245957293,0.1841686841841175,2.09388501106629,0.9968582492497129,0.03932625259919709
565,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,RCM2,-10.659924100374301,-0.1344931399982071,1.822554189819398,0.9954228280175432,0.041559605377698025
566,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,RCM3,-10.895688759170293,-1.0,1.5646193021822405,0.9861146751387107,0.047825145525230234
567,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,RCM4,-11.591287433824688,-1.0,1.2427886304038034,0.9823559857775549,0.059293585089106454
568,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,RCM5,-11.373089987033337,-1.0,1.45306964554947,0.9881058978561189,0.058508875887031124
569,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,RCM6,-10.778070147010219,-1.0,1.8222393772025018,0.990256348669928,0.0645303244072344
570,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,RCM7,-10.305332993203285,-1.0,1.9558447795313239,0.9907386415739786,0.06747295042795408
571,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,RCM8,-10.78624284424302,0.32557773429451997,1.9938271946820474,0.9976163211256309,0.032359960862401706
572,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,RPS1,-9.664377486501222,1.2632984724593392,4.2392820413076056,0.9961618469949116,0.05690835716986627
573,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,RPS2,-10.734054548049683,1.3127204289152232,3.6707534936793866,0.9939894332841173,0.055630833888156955
574,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,RPS3,-10.76466248318012,1.2750345668818677,3.5841696182362344,0.9965566744728696,0.04528407392881792
575,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,RPS4,-10.813902410356626,1.3123144521489338,3.6239673906289176,0.996055267771236,0.052780486007706934
576,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,RPS5,-10.839169284578174,1.2197909444398696,3.1231265085302033,0.9936846893191253,0.0645051582191155
577,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,RPS6,-10.96646179114804,1.2686954424558794,3.425494890018876,0.9958324025202775,0.05515798444367184
578,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,RPS7,-11.049773471446683,1.4290905101487599,4.599161751378293,0.9954937664209833,0.06861504587330713
579,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,RPS8,-11.056141637423726,1.3935052555723613,4.4158710113428565,0.994192308051114,0.07484815548777178
580,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,RPS9,-11.057561897252441,1.3663575866133348,3.7144567617496222,0.9940945496406822,0.05060336799327978
581,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,RPS10,-10.842532915675536,1.242981657371591,3.324474335806953,0.9960590003602936,0.04897166820372095
582,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,RPS11,-10.626638234328219,1.3634056228734948,4.067688891241415,0.9955161159239698,0.05371274531629524
583,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1029,run-01,RPS12,-10.939292610273268,1.3063994335376334,3.6209478824137094,0.9925517099881749,0.06528068126158543
584,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1002,run-1_1,LCM1,-9.233351703987827,-0.16740899952588648,2.381887561775067,0.9794156934950758,0.12717172782671454
585,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1002,run-1_1,LCM2,-9.045065991720607,0.07563196536280122,2.6715754646596706,0.9881600874809384,0.10281263097124932
586,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1002,run-1_1,LCM3,-9.364527980263214,0.08313154529679143,2.43426176870281,0.9861796373500207,0.1032009758154414
587,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1002,run-1_1,LCM4,-9.479625928139571,-0.11629072380038968,2.3525810082663616,0.9789876539600076,0.12475038806451824
588,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1002,run-1_1,LCM5,-9.555690677010878,-0.143685788492857,2.3928146121401146,0.9791161397141914,0.13282439135779847
589,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1002,run-1_1,LCM6,-9.596066314912584,0.025477691605597753,2.4881046843648993,0.983905234928536,0.11388000212147581
590,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1002,run-1_1,LCM7,-9.87999999799684,0.15100679292470884,2.4743915244843047,0.9839532174872128,0.11386095709020189
591,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1002,run-1_1,LCM8,-10.24676209380105,0.3816686092925585,2.531313386055262,0.9866318995049795,0.10322373183402171
592,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1002,run-1_1,LCM9,-9.657936462855105,0.23898989889538047,2.3442934237225304,0.9971446405822488,0.042364364354799317
593,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1002,run-1_1,LCM10,-9.353287345800851,0.41837462664790587,3.0196119295568944,0.9935544901199403,0.08181632673914141
594,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1002,run-1_1,LCM11,-9.090122130598399,0.4491093318358724,3.050392497663651,0.9935651531985327,0.07432318330514254
595,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1002,run-1_1,LCM12,-8.999251214852704,0.5030164916723509,3.2737068152126962,0.9950383066245604,0.0750270802078552
596,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1002,run-1_1,LCM13,-8.837117011230129,0.5246218680969332,3.3497715050714487,0.9955737430373723,0.07379451019523374
597,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1002,run-1_1,LCM14,-8.862517257617295,0.5694594176238819,3.3565474856825612,0.9949321117917133,0.07286156006125305
598,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1002,run-1_1,LCM15,-8.745034657053223,0.20411023833649428,3.0889847443869143,0.988965502722596,0.11673329052475215
599,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1002,run-1_1,LCM16,-8.682606661708615,0.1398171742308334,3.027949350240931,0.9845821074095733,0.13598926277442389
600,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1002,run-1_1,RCM1,-9.659746969556023,0.3095395482674172,2.5144484711773356,0.979915450983083,0.13195231454896383
601,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1002,run-1_1,RCM2,-9.651437584363418,0.36212227751807946,2.665553194573887,0.9810029579933982,0.13346899995526168
602,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1002,run-1_1,RCM3,-9.400234522237817,0.29698691863898485,2.7078316835713103,0.9801733926777185,0.14021913935760175
603,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1002,run-1_1,RCM4,-9.484664995400793,0.29494032356590233,2.6557273712521923,0.9923789418734308,0.08021649246637898
604,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1002,run-1_1,RCM5,-9.603782008785444,0.19126766391536765,2.4529608097031765,0.9761172922761119,0.13824206416750187
605,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1002,run-1_1,RCM6,-9.622543880808749,0.2626105591656909,2.646277016241984,0.9913121255546065,0.0736324372407694
606,fooof_1-200hz_r4_bw1_pw25,1-200hz,EM1002,run-1_1,RCM7,-9.615533734185666,0.17736007655275143,2.5924560975070907,0.9726140009186768,0.15242498341908955
