,subject,session_id,electrode,electrode_type,fooof_export_path,offset,log knee,exponent,tau (ms),rsquared
3312,DBS4078,1,ecog_215,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-1-ecog_215-fooof.json,1.9945712456587488,1.0475667872395136,2.9541622792256472,14.26439460188106,0.9888555243157838
3313,DBS4078,1,ecog_216,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-1-ecog_216-fooof.json,1.676954123444397,1.1778362887868379,3.1021931235717224,10.567781929506726,0.9878853197430855
3314,DBS4078,1,ecog_233,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-1-ecog_233-fooof.json,2.0764991010066325,1.256107584162111,3.9547999042546955,8.824955974523359,0.9948315052585961
3315,DBS4078,1,ecog_234,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-1-ecog_234-fooof.json,2.1988025215412415,1.2144883476749093,3.8959775197455535,9.71251682116917,0.9964698821915272
3316,DBS4078,1,ecog_235,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-1-ecog_235-fooof.json,2.387471033127841,1.2575988611108881,3.7844761904157993,8.794704878375327,0.9963997196981191
3317,DBS4078,1,ecog_236,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-1-ecog_236-fooof.json,2.275597784706847,1.2958022590468306,3.5207287151099775,8.054115857577301,0.9953698418475253
3318,DBS4078,1,ecog_237,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-1-ecog_237-fooof.json,2.031961079133695,1.2765528767750431,3.8409142739444495,8.419130762704112,0.993325049655513
3319,DBS4078,1,ecog_238,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-1-ecog_238-fooof.json,2.025741854894657,1.2693445454336225,3.9512913766964837,8.560035902687332,0.9941439374143426
3320,DBS4078,1,ecog_239,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-1-ecog_239-fooof.json,2.4028968854128148,1.25627506974352,3.58204823913877,8.821553288154748,0.9957733581141365
3321,DBS4078,1,ecog_240,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-1-ecog_240-fooof.json,2.2391752118485595,1.269083646403461,3.468569878747575,8.565179822568695,0.9937431809093004
3322,DBS4078,1,ecog_241,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-1-ecog_241-fooof.json,2.0475491365093395,1.27079293238409,3.736330906247697,8.531535441612258,0.9949727940925188
3323,DBS4078,1,ecog_242,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-1-ecog_242-fooof.json,1.8249015538886233,1.2416209137071532,3.750083488039277,9.124292895127581,0.9957657751094675
3324,DBS4078,1,ecog_243,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-1-ecog_243-fooof.json,1.9789145280298133,1.2710686184166082,3.465842404434982,8.52612142211298,0.9915371207140209
3325,DBS4078,1,ecog_244,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-1-ecog_244-fooof.json,2.306993257121165,1.2112871118529864,3.3927538526312864,9.784373434027154,0.9798283830718637
3326,DBS4078,1,ecog_245,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-1-ecog_245-fooof.json,2.1123189431945053,1.2001340056663945,3.679570861170932,10.038899950024872,0.9942961002966484
3327,DBS4078,1,ecog_247,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-1-ecog_247-fooof.json,2.444842710554816,1.0987664803395802,3.651461049394461,12.678084770454547,0.9895802230669308
3328,DBS4078,1,ecog_248,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-1-ecog_248-fooof.json,2.5014758599526585,1.0448707736267122,3.5609805556348118,14.353220543082232,0.9855074526349319
3329,DBS4078,1,dbs_L1,dbs,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-1-dbs_L1-fooof.json,1.9678907318423022,-1.0,1.7218412288749938,1591.5494309189535,0.9922939970368998
3330,DBS4078,1,dbs_L2A,dbs,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-1-dbs_L2A-fooof.json,1.1599107184579853,-0.9541269675201096,1.4352429071296202,1432.0134569790998,0.9510827572766517
3331,DBS4078,1,dbs_L2B,dbs,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-1-dbs_L2B-fooof.json,1.026633476200755,-0.9558726336755596,1.345197575302725,1437.781083170032,0.9783360021330805
3332,DBS4078,1,dbs_L2C,dbs,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-1-dbs_L2C-fooof.json,0.8810956987185244,-0.9010976580597582,1.334573051154015,1267.4119268777106,0.9871342523040871
3333,DBS4078,1,dbs_L3A,dbs,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-1-dbs_L3A-fooof.json,0.8646997706072262,-0.35413596707299294,1.4123708304943678,359.71297121245533,0.9931498325917183
3334,DBS4078,1,dbs_L3B,dbs,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-1-dbs_L3B-fooof.json,0.4236389778282912,-1.0,0.9713816470909123,1591.5494309189535,0.9743093781641164
3335,DBS4078,1,dbs_L3C,dbs,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-1-dbs_L3C-fooof.json,0.7316634552474117,-1.0,1.151082497079272,1591.5494309189535,0.9597065432950782
