,subject,session_id,electrode,localization,fooof_export_path,CF1,PH1,BW1,CF2,PH2,BW2,CF3,PH3,BW3,CF4,PH4,BW4,CF5,PH5,BW5,CF6,PH6,BW6
28,sEEG-1002,1,RCM5,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-1-RCM5-fooof.json,15.82435489286081,0.8569950127451467,10.279514834101915,57.864287934189115,0.6072396291738151,1.136003030092397,60.094878230705774,2.5641650197521084,1.0,61.411394071721666,1.213307721939298,1.0447610930552034,179.88702285336757,2.4419772039683636,1.6286648192142226,,,
29,sEEG-1002,1,RCM6,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-1-RCM6-fooof.json,9.732422340950663,0.6784991182617297,5.634166067414624,17.907488047481902,1.4053574313307742,6.230455610061408,60.122696542904634,1.7116246583908978,1.0,61.37027908193097,0.4662325304796564,1.0,179.92100367590402,2.0458292581924766,1.556940887637232,,,
31,sEEG-1002,1,RCM16,cortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-1-RCM16-fooof.json,22.99110750077928,0.4090804736947913,4.441691990560644,24.1,0.3650442046770461,4.6100737377712635,60.064783931743825,0.4665309179489938,1.0,84.444,0.13715979655297872,46.15925840289945,180.06514195225583,0.5106141261940351,1.0,,,
32,sEEG-1002,1,LCM12,cortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-1-LCM12-fooof.json,26.66,0.2997997544244271,50.0,28.708000000000002,0.3127473517314421,11.081909255883868,60.0871664988016,1.202182045805543,1.0,179.95614166490626,1.8934185228377007,1.1766660628347811,,,,,,
33,sEEG-1002,1,LCM13,cortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-1-LCM13-fooof.json,22.94947759562297,0.5172562329469894,7.217389856287658,60.090442712285004,0.9220363642146712,1.0,74.71600000000001,0.1437052154218268,44.840683849563014,120.02492583526666,0.9156673377018709,1.0,179.98843664044855,1.4888952051832334,1.0159544776294869,,,
34,sEEG-1002,1,LCM14,cortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-1-LCM14-fooof.json,60.16280669801586,1.6519765684606806,1.0,78.884,0.28305095295233684,28.887520145087137,120.06254010794224,0.6455686057897907,1.0,179.86476550859757,2.766592359493341,1.6747650487806784,,,,,,
35,sEEG-1002,1,LCM15,cortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-1-LCM15-fooof.json,22.450458242465658,0.8217640227694947,6.045668461643739,44.58,0.5076547392492596,5.908896130088367,60.178093271080755,1.804605436619232,1.0236037548835686,178.64597664697402,1.3811169860244323,1.0289523189157268,180.04665496695227,3.0583624445107933,1.277616075588029,,,
36,sEEG-1002,1,RCM14,cortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-1-RCM14-fooof.json,38.62567001309274,0.5515546437043817,1.810524208540964,42.315773008800164,0.4484979160286926,1.0,60.06828887619239,0.9195388932851767,1.0,78.92554652444069,0.1950794534894289,39.30637909996409,179.9778423801362,1.6785133091937858,1.0393082071275237,,,
37,sEEG-1002,1,RCM15,cortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1002-1-RCM15-fooof.json,21.905069104851783,0.2835427689203218,4.952547826140758,60.079991103274594,1.0629503396128754,1.0,73.6788834295152,0.2494776007318933,50.0,78.7988834295152,0.2663140109247486,17.784429812203747,179.9918803229483,1.3180549095138723,1.0,,,
38,sEEG-1021,0,LCM6,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-0-LCM6-fooof.json,3.9252892665916166,0.6842050753838365,5.299111956176366,5.911481653208375,0.8162030889054979,1.6014434519903253,19.048205804990157,0.25191114679783944,4.619708085692983,162.949208573788,0.1706854707541794,50.0,182.48076936996617,0.20796002523628587,21.142993196880155,199.64797557358543,0.24418700402562266,16.333459221748182
